id,parent_skill,name,description,left_or_right
179,178,Element of Surprise,"<li><strong>[Q],[RMB]:</strong> Beasts deal double <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> for 4s if created in <strong>[Q] RIFT ZONE</strong>.</li>",left
180,179,Soothing Journey,"<li><strong>[Q],[RMB]:</strong> Beasts are <img src=""/images/common/buff/armor.png""> <span class=""armor"">shielded</strong> up to 500 HP <span class=""explain"">(10s)</span> if created in <strong>[Q] RIFT ZONE</strong>.</li>",left
181,179,Portal Call,"<li><strong>[Q],[RMB]:</strong> -3s cooldown when you create beasts in <strong>[Q] RIFT ZONE</strong>.</li>",right
182,178,Shattered Rift,"<li>On end, <img src=""/images/common/debuff/crackarmor.png""> <span class=""crackarmor"">breaks armor</span>. <span class=""explain"">(-25 armor, 3s)</span></li><li><strong>[RMB] PORTAL BEASTS</strong> while in the rift to trigger effect early.</li>",right
183,182,Stumbling Block,"<li>On end, <img src=""/images/common/cc/daze.png""> <span class=""daze"">dazes</span> and <img src=""/images/common/cc/push.png""> <span class=""push"">pushes</span> enemies up.</li>",left
184,182,Rift Burst,"<li>On end, deals <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(150 dmg)</span></li>",right
185,,Displacement,"Disappear into a portal and regen health. <span class=""explain"">(50 HP/s)</span> <strong>TAP [E] AGAIN:</strong> Exit the portal early.",none
186,185,Conservation of Mass,"<li>When you enter your portal, you summon a <strong>PORTAL BEAST</strong>.</li>",left
187,186,Gift of Preservation,"<li>While in your portal, your <strong>PORTAL BEASTS</strong> regain <img src=""/images/common/buff/health.png""> <span class=""health"">health</span>.</li>",left
188,186,Gift of Annihilation,"<li>While in your portal, your <strong>PORTAL BEASTS</strong> attack rapidly.</li>",right
190,185,Exit Strategy,"<li><strong>[E],[E]:</strong> Teleport to a targeted location. <span class=""explain"">(+5s cooldown if you teleport)</span></li>",right
191,190,Escape Hatch,"<li><strong>[E],[E]:</strong> Upon teleporting, gain +15 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> for 3s.</li>",left
192,190,Portal Collapse,"<li><strong>[E],[E]:</strong> Upon teleporting, foes near your destination are <img src=""/images/common/cc/stun.png""> <span class=""stun"">stunned</span> for 1.5s.</li>",right
193,,Phase Variance,"<li><strong>[E]:</strong> Move 50% <img src=""/images/common/buff/speed.png""> <span class=""speed"">faster</span> while in the portal.</li><li><strong>DURING CLASH:</strong> On end, you are <img src=""/images/common/buff/health.png""> <span class=""health"">healed</span> for 300 HP if you have any <strong>PORTAL BEASTS</strong>.</li>",none
194,,Zoned Out,"<li><strong>[Q]: RIFT ZONE</strong> affects a larger area. <span class=""explain"">(3.5m radius)</span></li><li><strong>DURING CLASH:</strong> Deals <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> on start. <span class=""explain"">(150 dmg)</span></li>",none
195,,Beast Friends,"<li><strong>[RMB]:</strong> Creates <strong>PORTAL BEASTS</strong> faster and grants +10 stamina.</li><li><strong>DURING CLASH:</strong> Gain 10% <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> upon summoning while facing an enemy.</li>",none
196,,Bullet Barrage,A constant stream of bullets.,none
197,196,Rapid Fire,"<li>Increased rate of fire. <span class=""explain"">(+15%)</span></li>",left
198,197,Ballistic Accelerator,"<li><strong>[E],[LMB]:</strong> During <strong>[E] FORTIFY</strong>, reduces falloff <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> at long range.</li>",left
199,197,High Caliber Rounds,"<li><strong>[E],[LMB]:</strong> During <strong>[E] FORTIFY</strong>, shots deal more <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> at close range. <span class=""explain"">(+37)</span></li>",right
200,196,Piercing Rounds,<li>Shots pierce through enemies.</li>,right
201,200,Impeding Fire,"<li><strong>[E],[LMB]:</strong> During <strong>[E] FORTIFY</strong>, shots inflict <img src=""/images/common/cc/slow.png""> <span class=""slow"">slow</span>. <span class=""explain"">(-5% mvement speed, 1s)</span> Intensity increases with each hit. <span class=""explain"">(Maximum: -30%)</span></li>",left
202,200,Debilitating Rounds,"<li><strong>[E],[LMB]:</strong> During <strong>[E] FORTIFY</strong>, shots inflict <img src=""/images/common/debuff/weakness.png""> <span class=""weakness"">weakness</span>. <span class=""explain"">(-5% damage, 1s)</span></li><li>Weakness increases with each hit. <span class=""explain"">(Maximum: -50% damage)</span></li>",right
203,,Rail Gun,Fire a powerful energy blast.,none
204,203,Charged Rounds,"<li><strong>HOLD [RMB]:</strong> Can now charge your shots for increased <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(575)</span></li>",left
205,204,Armor Piercing,"<li><strong>HOLD [RMB]:</strong> Charged shots pierce and add 50% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">armor penetration</span>.</li>",left
206,204,Parallel Outputs,"<li><strong>[E],HOLD [RMB]:</strong> During <strong>[E] FORTIFY</strong>, your chest gun fires while you charge your <strong>[RMB] RAIL GUN</strong>.</li>",right
207,203,Hand Cannon,"<li>Replaces your <strong>[RMB] RAIL GUN</strong> with a mid-range Cannon.</li><li>On direct hit, <img src=""/images/common/cc/daze.png""> <span class=""daze"">dazes</span> enemies. <span class=""explain"">(1s)</span></li>",right
208,207,Daze for Days,"<li>On direct hit, daze duration is increased to 1.5s</li>",left
209,207,Concussive Explosion,"<li><strong>[E],[RMB]:</strong> During <strong>[E] FORTIFY</strong>, <img src=""/images/common/cc/daze.png""> <span class=""daze"">daze</span> all enemies hit by the explosion.</li>",right
210,,S.W.A.R.M.,Fire a barrage of missiles.,none
211,210,Shredder,"<li><strong>[LMB]:</strong> 30% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">armor penetration</span> for basic attacks.</li>",left
212,211,Battle Fury,"<li>Gain 10% <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> for each kill or death.</li>",left
213,211,Run n Gun,"<li><img src=""/images/common/buff/speed.png""> <span class=""speed"">Sprint</span> while performing your <strong>[LMB] BULLET BARRAGE</strong>.</li>",right
214,210,Stonewall,"<li>You are <img src=""/images/common/buff/invulnerable.png""> <span class=""invulnerable"">immune</span> to critical hits.</li>",right
215,214,Iron Skin,"<li>+5 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span>.</li><li><strong>[F],[LMB]:</strong> After using <strong>FOCUS</strong>, gain +200 to maximum <img src=""/images/common/buff/health.png""> <span class=""health"">health</span>. <span class=""explain"">(5s)</span></li>",left
216,214,Hero's Vitality,"<li>+15% maximum <img src=""/images/common/buff/health.png""> <span class=""health"">health</span>.</li>",right
217,,Mortar,"Lobbed, explosive projectile that knocks up and sets enemies on fire. <span class=""explain"">(3s)</span>",none
218,217,Mortar Love,"<li>Explosion deals 40% more <img src=""/images/common/debuff/damage.png""> <span class=""explain"">damage</span>.</li>",left
219,218,Kaboom Box,"<li>On hit, creates a <img src=""/images/common/debuff/burn.png""> <span class=""burn"">burning</span> area. <span class=""explain"">(3s)</span></li>",left
220,218,Heavy Artillery,"<li><strong>[E],[Q]:</strong> During <strong>[E] FORTIFY</strong>, your explosion deals 80% more <img src=""/images/common/debuff/damage.png""> <span class=""explain"">damage</span>.</li>",right
221,217,Impact Trigger,"<li>Explodes and <img src=""/images/common/cc/push.png""> <span class=""push"">pushes</span> on impact.</li>",right
222,221,Percussive Force,"<li><img src=""/images/common/cc/push.png""> <span class=""push"">Pushes</span> enemies much farther.</li>",left
223,221,Speed Loader,"<li><strong>[E],[Q]:</strong> During <strong>[E] FORTIFY</strong>, your cooldown is reduced by 50%.</li>",right
224,,Fortify,"Gain +20% front damage reduction, increased accuracy, and resistance to pushes. <span class=""explain"">(Unable to move)</span> <strong>TAP [E] AGAIN:</strong> Unfortify.",none
225,224,Siege Mode,"<li>Gain a 400 HP <img src=""/images/common/buff/armor.png""> <span class=""armor"">shield</span>.</li>",left
226,225,Shock Absorbers,"<li><img src=""/images/common/buff/invulnerable.png""> <span class=""invulnerable"">Immune</span> to disruption. <span class=""explain"">(Stun, interrupt, launch, pull, and daze)</span></li>",left
227,225,Earth Mover,"<li>Gives you front <img src=""/images/common/buff/deflect.png""> <span class=""deflect"">deflection</span>. <span class=""explain"">(3s)</span></li><li><strong>[E],[E]:</strong> Unfortifying <img src=""/images/common/cc/launch.png""> <span class=""launch"">launches</span> foes away.</li>",right
228,224,Rapid Recalibration,"<li>Gives a 10% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> boost to <strong>[LMB] BULLET BARRAGE</strong>. <span class=""explain"">(5s)</span></li><li>Fortifying/Unfortifying is 2x faster.</li>",right
229,228,Power Differential,"<li>Gives a 20% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> boost to <strong>[LMB] BULLET BARRAGE</strong>. <span class=""explain"">(8s)</span></li>",left
230,228,Servo Boost,"<li><strong>[E],[E]:</strong> Unfortifying gives +25 stamina and a <img src=""/images/common/buff/speed.png""> <span class=""speed"">speed boost</span>. <span class=""explain"">(1s)</span></li><li>Reduced cooldown. <span class=""explain"">(-6s)</span></li>",right
231,,Double Plating,"<li><strong>[E]: FORTIFY</strong> gives +5% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span>.</li><li><strong>DURING CLASH:</strong> 80% degen reduction while Fortified.</li>",none
232,,Bombardment,"<li><strong>[Q]: MORTAR</strong> increases <img src=""/images/common/debuff/burn.png""> <span class=""burn"">burn</span> duration by 1s.</li><li><strong>DURING CLASH:</strong> Gives additional <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span>.</li>",none
233,,Heat Transfer,"<li><strong>[RMB]: RAIL GUN</strong> has a reduced cooldown. <span class=""explain"">(-2s)</span></li><li><strong>DURING CLASH:</strong> Inflicts extended <img src=""/images/common/debuff/burn.png""> <span class=""burn"">burn</span> <span class=""explain"">(50 dmg/s, 5s)</span> on burning foes.</li>",none
234,,Autobolts,<strong>[LMB]:</strong> Burst of medium ranged shots.,none
235,234,Heavy Cable,"<li>Deal more <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(+10%)</span></li>",left
236,235,Quick Loader,<li>Reload and fire again 20% faster.</li>,left
237,235,Steel-Tipped Bolts,"<li>Shots pierce through enemies and build <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> faster.</li>",right
238,234,Hit and Run,"<li>Each hit gives you a small <img src=""/images/common/buff/speed.png""> <span class=""speed"">speed boost</span>. <span class=""explain"">(Maximum: +10%, 3s)</span></li>",right
239,238,In the Groove,"<li>Hits increase your <img src=""/images/common/buff/speed.png""> <span class=""speed"">movement speed</span> even more. <span class=""explain"">(Maximum: +30%, 3s)</span></li>",left
240,238,Stopping Power,"<li><strong>[Q],[LMB]:</strong> With <strong>[Q] SPECIAL AMMO</strong>, shots <img src=""/images/common/cc/push.png""> <span class=""push"">push</span> enemies from close range.</li>",right
241,,Silent Scope,<strong>[RMB]:</strong> Zoom in for deadly single shots. Wait for increased damage. Shots have 100%.,none
242,241,On The Mark,"<li><strong>[RMB],[LMB]:</strong> After a scoped 2x charged hit, <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> bonus starts at 2x. <span class=""explain"">(Can charge up to 3x)</span></li>",left
243,242,Vital Organs,"<li><strong>[RMB],[LMB]:</strong> Scoped shots have 50% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">armor penetration</span>.</li>",left
244,242,Dialed In,"<li><strong>[RMB],[LMB]:</strong> After a scoped 3x charged hit, <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> bonus starts at 3x.</li>",right
245,241,Snapshot,"<li><strong>[RMB],[LMB]:</strong> +50% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> for quick scoped shots. <span class=""explain"">(Scope does not zoom in as far)</span></li>",right
246,245,Combat Sniper,"<li><strong>[RMB],[LMB]:</strong> After a scoped shot, reload and fire 20% faster.</li><li>Increased <img src=""/images/common/buff/speed.png""> <span class=""speed"">movement speed</span> while scoped.</li>",left
247,245,Sniper Superiority,"<li><strong>[RMB],[Q]:</strong> After a scoped shot using <strong>[Q] SPECIAL AMMO</strong>, gain front <img src=""/images/common/buff/deflect.png""> <span class=""deflect"">deflection</span>. <span class=""explain"">(1s)</span></li>",right
248,,Kill Shot,"<strong>[F],[LMB]:</strong> Zoom and load 3 fully charged rounds. Press <strong>[LMB]</strong> to fire. Focus Tiers: +30/40/50% damage per hit.",none
249,248,Battle Fury,"<li>Gain 10% <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> for each kill or death.</li>",left
250,249,Concentration,"<li>Gain <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> 20% faster.</li>",left
251,249,Shredder,"<li><strong>[F],[LMB]:</strong> After hitting with your <strong>FOCUS</strong>, basic attacks have 30% <img src=""/images/common/buff/damage.png""> <span class=""damage"">armor penetration</span>. <span class=""explain"">(Lasts until you die)</span></li>",right
252,248,Acrobatics,<li>Dodging costs 20% less stamina.</li>,right
253,252,Fringe Benefits,"<li>+10 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> when you are hit from long or medium range.</li>",left
254,252,Tactical Awareness,"<li>+10 back <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span>.</li><li>+10% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> from behind.</li>",right
255,,Special Ammo,<strong>[Q]:</strong> Boom Bolts add 20% damage and apply burning to your next 3 <strong>[LMB] AUTOBOLT</strong> attacks.,none
256,255,Die in a Fire,"<li><strong>[Q],[LMB]:</strong> <img src=""/images/common/debuff/burn.png""> <span class=""burn"">Burning</span> lasts twice as long. <span class=""explain"">(2s)</span></li>",left
257,256,Blast Radius,"<li><strong>[Q],[LMB]:</strong> On hit, shots affect foes near your target. Gain <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> for each enemy hit.</li>",left
258,256,All In,"<li><strong>[Q],[LMB]:</strong> Get only one shot, but deals +60^ <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> and <img src=""/images/common/cc/push.png""> <span class=""push"">pushes</span> enemies.</li>",right
259,255,Frosted Tips,"<li><strong>[Q],[LMB]:</strong> Your next 3 attacks inflict <img src=""/images/common/debuff/freeze.png""> <span class=""freeze"">freeze</span>. <span class=""explain"">(2s)</span></li>",right
260,259,Chill to the Bone,"<li><strong>[Q],[LMB]:</strong> Hitting a frozen foe inflicts <img src=""/images/common/debuff/freeze.png""> <span class=""freeze"">deep freeze</span>. <span class=""explain"">(3s)</span></li><li>Hitting a deep frozen foe inflicts <img src=""/images/common/debuff/freeze.png""> <span class=""freeze"">full freeze</span>. <span class=""explain"">(3s of <img src=""/images/common/cc/slow.png""> <span class=""slow"">extreme slow</span>.</li>",left
261,259,Freeze Tag,"<li><strong>[Q],[LMB]:</strong> Increases freeze duration by 1s. Enemies hit also <img src=""/images/common/debuff/freeze.png""> <span class=""freeze"">freeze</span> nearby.</li>",right
262,,Smoke Bomb,"<strong>[E]:</strong> Lobbed projectile: Creates a cloud that hides allies and weakens enemies. <span class=""explain"">(-25% damage, 2s)</span>",none
263,262,Choking Gas,"<li>Enemies hit are <img src=""/images/common/cc/daze.png""> <span class=""daze"">dazed</span>.</li>",left
264,263,Debilitating Haze,"<li><img src=""/images/common/debuff/weakness.png""> <span class=""weakness"">Weakness</span> is even stronger. <span class=""explain"">(-50% damage, 2s)</span></li>",left
265,263,Smoke Screen,"<li>Allies inside the cloud have 100% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">crit chance</span>.</li>",right
266,262,Vertical Evasion,"<li><strong>JUMP,[E]:</strong> While jumping, <img src=""/images/common/buff/jumphigher.png""> <span class=""jumphigher"">launch</span> yourself through the air. <span class=""explain"">(+5s cooldown if you launch yourself)</span></li>",right
267,266,Leave Your Problems Behind,"<li><strong>JUMP,[E]:</strong> Gain <img src=""/images/common/buff/cleanse.png""> <span class=""cleanse"">cleanse</span> when launching through the air.</li>",left
268,266,Adrenalne Rush,"<li><strong>JUMP,[E]:</strong> Launch farther and gain +50% <img src=""/images/common/buff/speed.png""> <span class=""speed"">move speed</span>. <span class=""explain"">(3s)</span></li>",right
269,,Fog of War,"<li><strong>[E]: SMOKE BOMB</strong> stealth is increased to 2s.</li><li><strong>DURING CLASH:</strong> Gain 50% <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage resistance</span> from stealth.</li>",none
270,,Secret Stash,"<li><strong>[Q]:</strong> Use <strong>SPECIAL AMMO</strong> more often. <span class=""explain"">(-2s cooldown)</span></li><li><strong>DURING CLASH:</strong> Additional -2s cooldown.</li>",none
271,,Stay on Target,"<li><strong>[RMB]: SILENT SCOPE</strong> shots have no recoil.</li><li><strong>DURING CLASH:</strong> Gain <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> boost for consecutive hits. <span class=""explain"">(Maximum: 2x after 10 hits)</span></li>",none
272,,Skewer,<strong>[LMB]:</strong> Melee attack combo,none
273,272,Bruiser,"<li>Landing the first 4 hits boosts your attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> by 20%. <span class=""explain"">(3s)</span></li>",left
274,273,Sharpened Horns,"<li>With Bruiser's damage boost active, hitting with <strong>[LMB] SKEWER</strong> refreshes its duration.</li>",left
275,273,Seeing Red,"<li>After killing a foe, deal double <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(5s)</span></li>",right
276,272,Pierce,"<i><strong>SPRINT+[LMB]:</strong> Inflicts <img src=""/images/common/debuff/bleed.png""> <span class=""bleed"">bleeding</span>. <span class=""explain"">(50 dmg/s, 3s)</span><li>Costs 10 Stamina.</li>",right
277,276,Adding Assault to Injury,"<li>Increases <img src=""/images/common/debuff/bleed.png""> <span class=""bleed"">bleed</span> damage. Hitting bleeding foes refreshes the duration. <span class=""explain"">(60 dmg/s, 3s)</span></li>",left
278,276,Overrun,"<li><strong>SPRINT+[LMB]:</strong> Inflicts <img src=""/images/common/debuff/crackarmor.png""> <span class=""crackarmor"">cracked armor</span>. <span class=""explain"">(-10 armor, 3s)</span></li>",right
279,,Chuck,<strong>[RMB]:</strong> Throws a spear.,none
280,279,Heavy Barrel,"<li><strong>HOLD [RMB]:</strong> When fully charged, causes <img src=""/images/common/debuff/bleed.png""> <span class=""bleed"">bleeding</span>. <span class=""explain"">(50 dmg/s, 4s)</span></li><li>Adds +3s to cooldown.</li>",left
281,280,Kidney Shot,"<li><strong>HOLD [RMB]:</strong> When fully charged, foes hit in the back take +150 <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li>",left
282,280,Skill Shot,"<li><strong>HOLD [RMB]:</strong> When fully charged, a hit gives +25% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> for 5s.</li>",right
283,279,Torus,"<li><strong>HOLD [RMB]:</strong> Throw spears at targeted area.</li><li>Now <img src=""/images/common/cc/slow.png""> <span class=""slow"">slows</span> enemies for 3s. <span class=""explain"">(+11s cooldown)</span></li>",right
284,283,Immobilizing Torus,"<li><strong>HOLD [RMB]:</strong> <img src=""/images/common/cc/cripple.png""> <span class=""cripple"">Cripples</span> enemies. <span class=""explain"">(3s) (Slow, reduced jump height)</span></li>",left
285,283,Spear Time,<li><strong>HOLD [RMB]:</strong> Reduces cooldown by 3s for each enemy hit.</li>,right
286,,Labyrinth,"<strong>[F],[LMB]:</strong> Deals armor-ignoring damage, stuns all nearby enemies and inflicts bleeding and cracked armor. <span class=""explain"">(4s/5s/6s)</span>",none
287,286,Dominator,"<li><strong>[LMB]:</strong> +5% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> for each kill without dying. <span class=""explain"">(Max +15% damage)</span></li>",left
288,287,Battle Fury,"<li>Gain 10% <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> for each kill or death.</li>",left
289,287,Remorseless,"<li><img src=""/images/common/buff/speed.png""> <span class=""speed"">Speed</span> and <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> boost after every kill.</li>",right
290,286,Bloody Minded,"<li><img src=""/images/common/buff/invulnerable.png""> <span class=""invulnerable"">Immunity</span> to weakness. Recover from daze twice as fast.</li>",right
291,290,Life Line,"<li>+20% to self <img src=""/images/common/buff/health.png""> <span class=""health"">healing</span>. When out of combat, your health returns faster.</li>",left
292,290,Hardy,"<li>25% <img src=""/images/common/buff/armor.png""> <span class=""armor"">degen resistance</span>.</li><li><strong>[F],[LMB]:</strong> 50% <img src=""/images/common/buff/armor.png""> <span class=""armor"">degen resistance</span> after using <strong>FOCUS</strong>. <span class=""explain"">(Lasts until you die)</span></li>",right
293,,Gore,<strong>[Q]:</strong> Melee attack that interrupts attackers on hit.,none
294,293,Goring Up,"<li>On hit, <img src=""/images/common/cc/launch.png""> <span class=""launch"">launches</span> enemies.</li>",left
295,294,More Gore,"<li>On hit, also <img src=""/images/common/cc/launch.png""> <span class=""launch"">launches</span> enemies in a small area around your target.</li>",left
296,294,Refreshing Gore,"<li><strong>[E],[Q]:</strong> During <strong>[E] BULL RUSH</strong>, hitting reactivates its effects and refreshes the duration.</li>",right
297,293,Bulldoze,"<li><strong>[Q],[Q]:</strong> Perform a powerful second attack. <span class=""explain"">(+5s cooldown)</span></li>",right
298,297,Focus on the Kill,"<li><strong>[Q],[Q]:</strong> Deals +100 <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li><li>Killing an enemy grants 50% <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span>.</li>",left
299,297,Initiating Gore,"<li>Hitting an enemy over 75% health gives +25% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(5s)</span></li>",right
300,,Bull Rush,"<strong>[E]:</strong> Increases movement speed. <span class=""explain"">(5s)</span>",none
301,300,Raging Bull,"<li>Gain +15% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(5s)</span></li>",left
302,301,Long Running,<li>Gain 20 Stamina.</li>,left
303,301,Mighty Yawp,"<li>Increases <img src=""/images/common/buff/speed.png""> <span class=""speed"">movement speed</span> applied to nearby allies.</li><li>Gives <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> for each hero affected.</li>",right
304,300,Major Beef,"<li>Gives you <img src=""/images/common/buff/health.png""> <span class=""health"">+400 HP</span>. <span class=""explain"">(5s)</span></li><li>No longer gives a speed boost.</li>",right
305,304,Thick Skinned,"<li>Gives an additional <img src=""/images/common/buff/health.png""> <span class=""health"">+200 HP</span>.</li>",left
306,304,Interrupting Cow,"<li>On use, <img src=""/images/common/cc/interrupt.png""> <span class=""interrupt"">interrupts</span> and <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damages</span> foes in front of you. <span class=""explain"">(150 damage, ignores armor)</span></li>",right
307,,Fury,"<li><strong>[E]: BULL RUSH</strong> lasts 3 seconds longer.</li><li><strong>DURING CLASH:</strong> Your basic attack gives triple <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> during <strong>BULL RUSH</strong>.</li>",none
308,,Trample,"<li><strong>[Q]: GORE</strong> covers more ground and deals 50 more <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li><li><strong>DURING CLASH:</strong> On hit, <strong>GORE</strong> cooldown is 7s shorter.</li>",none
309,,Wind Up,"<li><strong>[RMB]: CHUCK</strong> deals more <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> and ignores armor.</li><li><strong>DURING CLASH:</strong> After hitting, your basic attacks ignore armor. <span class=""explain"">(4s)</span></li>",none
310,,Demon Fist,<strong>[LMB]:</strong> Powerful melee attack combo.,none
311,310,Doom Strike,<li><strong>[LMB]x4:</strong> Combo ends with a powerful final attack.</li>,left
312,311,Critical Blow,"<li><strong>[LMB]x4:</strong> On hit, final attack dramatically increases <img src=""/images/common/debuff/damage.png""> <span class=""damage"">crit chance</span>.</li>",left
313,311,Demon's Reach,"<li><strong>[LMB]x4:</strong> Final attack hits a larger area and deals more <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> when hitting multiple targets.</li>",right
314,310,Counter,"<li><strong>[LMB]+BACK:</strong> 90% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span>. <img src=""/images/common/cc/interrupt.png""> <span class=""interrupt"">Interrupts</span>, <img src=""/images/common/debuff/weakness.png""> <span class=""weakness"">weakens</span>, and does more <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> to attacking enemies. <span class=""explain"">(Available once every 4s)</span></li>",right
315,314,Resounding Counter,"<li><strong>[LMB]+BACK:</strong> All nearby enemies are <img src=""/images/common/cc/interrupt.png""> <span class=""interrupt"">interrupted</span> and <img src=""/images/common/debuff/weakness.png""> <span class=""weakness"">weakened</span>.</li>",left
316,314,Debilitating Blows,"<li><strong>[LMB]+BACK,[LMB]:</strong> After Countering, <strong>[LMB] DEMON FIST</strong> hits extend <img src=""/images/common/debuff/weakness.png""> <span class=""weakness"">weakness</span> duration. <span class=""explain"">(-25% damage, 3s)</span></li>",right
317,,Hellburst,<strong>HOLD [RMB]:</strong> Rapid attack; deflects projectiles from front. Cooldown increases the longer it's used.,none
318,317,Eternal Flame,"<li><strong>[RMB] HELLBURST</strong> for twice as long. <span class=""explain"">(6s)</span></li>",left
319,318,Give Em Hell,"<li><img src=""/images/common/buff/reflect.png""> <span class=""reflect"">Reflect</span> projectiles back at their source.</li><li>Gain <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> when you reflect.</li>",left
320,318,Impenetrable Flame,"<li>Gain +25% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span>.</li>",right
321,317,Burst of Damage,"<li>Deals more <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. No longer deflects.</li>",right
322,321,Mayhem,"<li>Can now crit. Hitting increases <strong>[LMB] DEMON FIST</strong> and <strong>[RMB] HELLBURST</strong> <img src=""/images/common/debuff/damage.png""> <span class=""damage"">crit chance</span> rapidly.</li>",left
323,321,Nowhere to Run,"<li><img src=""/images/common/cc/slow.png""> <span class=""slow"">Slows</span> enemies hit in the back.</li>",right
324,,Ground and Pound,"<strong>[F],[LMB]:</strong> Create a shockwave that launches enemies upward and gain +15 armor for 5s.",none
325,324,Iron Skin,"<li>+5 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span>.</li><li><strong>[F],[LMB]:</strong> After using <strong>FOCUS</strong>, gain +200 to maximum <img src=""/images/common/buff/health.png""> <span class=""health"">health</span>. <span class=""explain"">(5s)</span></li>",left
326,325,Pound of Armor,"<li><strong>[F],[LMB]:</strong> After using <strong>FOCUS</strong>, gain +10 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> for each enemy hit. <span class=""explain"">(5s)</span></li>",left
327,325,Concentration,"<li>20% faster <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> gain.</li>",right
328,324,Hero's Vitality,"<li>+15% maximum <img src=""/images/common/buff/health.png""> <span class=""health"">health</span>.</li>",right
329,328,Life Line,"<li>+20% to self <img src=""/images/common/buff/health.png""> <span class=""health"">healing</span>. When out of combat, your health returns faster.</li>",left
330,328,Stonewall,"<li>You are <img src=""/images/common/buff/invulnerable.png""> <span class=""invulnerable"">immune</span> to critical hits.</li>",right
331,,Charge Forth,"<strong>[Q]:</strong> Rush forward quickly, pushing enemies you hit. +25% front damage reduction during use.",none
332,331,Relentless,<li>Charge distance dramatically increased.</li>,left
333,332,Pure Aggression,"<li><img src=""/images/common/buff/cleanse.png""> <span class=""cleanse"">Remove debuffs</span> from yourself and nearby allies.</li>",left
